feature,importance
rainfall_14d_cum,0.09795053603349493
soil_saturation_proxy,0.09488395630176184
soil_moisture,0.08717195294881688
rainfall_30d_cum,0.08644374438373387
rainfall_7d_cum,0.07716316633038667
rainfall_3d_cum,0.06735491345338779
ground_tilt,0.058824655213694566
API,0.058799200141583054
historical_flood_risk,0.05705151234690073
forecast_rainfall,0.048696748074242166
historical_landslide_risk,0.04795405964293872
rainfall,0.037960164855263316
rainfall_intensity_on_wet,0.034722361513145054
API_14d,0.034373313981488976
API_7d,0.032949215285142705
rainfall_24h,0.03133352432494018
rainfall_3d_max,0.017505678049645517
elevation,0.009179979096534471
rainfall_7d_max,0.00857392778149641
flow_accumulation,0.006589953998289924
slope,0.004517436243112183
