feature,importance
soil_saturation_proxy,0.09963216
historical_flood_risk,0.093084276
historical_landslide_risk,0.07896278
ground_tilt,0.0669768
soil_moisture,0.060240645
forecast_rainfall,0.05455664
rainfall_24h,0.051445294
rainfall_intensity_on_wet,0.04929657
rainfall_7d_cum,0.048427038
rainfall_14d_cum,0.047318622
rainfall_7d_max,0.04679292
rainfall,0.043484695
API_7d,0.04327936
rainfall_3d_max,0.0430008
API,0.041520454
rainfall_3d_cum,0.041156255
API_14d,0.035970505
slope,0.028444476
elevation,0.026409753
flow_accumulation,0.0
rainfall_30d_cum,0.0
